,time,open,high,low,close,volume
3069,2025-01-01 23:15:00+00:00,194.59,194.59,194.02,194.24,11486.015
3070,2025-01-01 23:30:00+00:00,194.23,194.3,193.91,194.24,12883.444
3071,2025-01-01 23:45:00+00:00,194.23,194.45,193.81,194.28,11136.017
3072,2025-01-02 00:00:00+00:00,194.28,194.81,193.63,194.0,24519.36
3073,2025-01-02 00:15:00+00:00,194.0,195.97,193.43,195.17,34692.452
3074,2025-01-02 00:30:00+00:00,195.17,196.76,194.64,196.31,42282.522
3075,2025-01-02 00:45:00+00:00,196.31,197.17,195.65,196.25,48690.383
3076,2025-01-02 01:00:00+00:00,196.25,198.47,196.25,197.83,63128.805
3077,2025-01-02 01:15:00+00:00,197.83,198.28,197.03,197.03,24892.618
3078,2025-01-02 01:30:00+00:00,197.03,197.68,196.11,197.56,28904.29
3079,2025-01-02 01:45:00+00:00,197.55,197.77,197.02,197.71,15510.069
3080,2025-01-02 02:00:00+00:00,197.7,198.44,197.47,198.11,29100.596
3081,2025-01-02 02:15:00+00:00,198.1,198.94,197.47,198.7,63918.607
3082,2025-01-02 02:30:00+00:00,198.69,199.0,197.93,198.74,59876.564
3083,2025-01-02 02:45:00+00:00,198.75,199.42,198.61,199.41,37642.804
3084,2025-01-02 03:00:00+00:00,199.41,199.7,198.32,198.43,32653.943
3085,2025-01-02 03:15:00+00:00,198.43,198.78,198.08,198.65,25434.21
3086,2025-01-02 03:30:00+00:00,198.65,198.73,197.8,197.89,32456.284
3087,2025-01-02 03:45:00+00:00,197.89,198.93,197.89,198.54,32594.733
3088,2025-01-02 04:00:00+00:00,198.55,199.96,198.54,199.89,34044.519
3089,2025-01-02 04:15:00+00:00,199.89,200.2,199.35,200.13,48617.403
3090,2025-01-02 04:30:00+00:00,200.14,204.78,200.14,204.22,145219.651
3091,2025-01-02 04:45:00+00:00,204.21,204.84,203.69,204.47,75192.893
3092,2025-01-02 05:00:00+00:00,204.47,204.63,203.31,203.72,43608.648
3093,2025-01-02 05:15:00+00:00,203.72,205.5,203.42,204.99,43958.667
3094,2025-01-02 05:30:00+00:00,205.0,205.36,204.61,205.0,24724.384
3095,2025-01-02 05:45:00+00:00,204.99,205.17,204.4,204.62,28581.783
3096,2025-01-02 06:00:00+00:00,204.63,205.2,204.01,204.72,72365.752
3097,2025-01-02 06:15:00+00:00,204.71,205.0,203.96,204.54,39157.146
3098,2025-01-02 06:30:00+00:00,204.55,205.65,204.28,205.27,39695.166
3099,2025-01-02 06:45:00+00:00,205.28,205.97,205.11,205.36,29490.048
